Date,Score,Std,Logic
2011-04-27,-0.4,0.0,Model
2011-06-22,-0.28,0.075,Model
2012-01-25,-0.38,0.117,Model
2012-04-25,-0.24,0.242,Model
2012-06-20,-0.28,0.147,Model
2012-09-13,-0.42,0.117,Model
2012-12-12,-0.46,0.174,Model
2013-03-20,-0.48,0.16,Model
2013-06-19,-0.28,0.117,Model
2013-09-18,-0.36,0.206,Model
2013-12-18,-0.34,0.12,Model
2014-03-19,-0.42,0.24,Model
2014-06-18,-0.32,0.172,Model
2014-09-17,-0.28,0.075,Model
2014-12-17,-0.24,0.185,Model
2015-03-18,0.02,0.147,Model
2015-06-17,-0.38,0.075,Model
2015-09-17,-0.28,0.117,Model
2015-12-16,0.06,0.206,Model
2016-03-16,-0.38,0.098,Model
2016-06-15,-0.16,0.206,Model
2016-09-21,-0.26,0.12,Model
2016-12-14,0.1,0.219,Model
2017-03-15,0.26,0.102,Model
2017-06-14,0.4,0.11,Model
2017-09-20,-0.02,0.16,Model
2017-12-13,0.12,0.248,Model
2018-03-21,0.1,0.089,Model
2018-06-13,0.18,0.172,Model
2018-09-26,0.38,0.117,Corrected
2018-12-19,-0.1,0.261,Model
2019-01-30,-0.38,0.133,Model
2019-03-20,-0.3,0.21,Model
2019-05-01,-0.14,0.08,Model
2019-06-19,-0.2,0.245,Model
2019-07-31,-0.16,0.162,Model
2019-09-18,-0.4,0.11,Model
2019-10-30,-0.24,0.185,Model
2019-12-11,-0.38,0.117,Model
2020-01-29,-0.12,0.16,Model
2020-03-15,-0.62,0.117,Corrected
2020-04-29,-0.54,0.15,Corrected
2020-07-29,-0.72,0.075,Model
2020-09-16,-0.44,0.265,Model
2020-11-05,-0.5,0.167,Model
2020-12-16,-0.38,0.133,Model
2021-03-17,-0.5,0.21,Model
2021-06-16,-0.26,0.15,Model
2021-09-22,0.04,0.162,Model
2021-12-15,0.12,0.172,Model
2022-01-26,0.32,0.117,Model
2022-03-16,0.34,0.08,Corrected
2022-05-04,0.4,0.126,Corrected
2022-06-15,0.78,0.16,Model
2022-07-27,0.56,0.242,Corrected
2022-09-21,0.54,0.08,Model
2022-11-02,0.48,0.098,Corrected
2022-12-14,0.52,0.075,Model
2023-02-01,0.42,0.172,Corrected
2023-03-22,0.36,0.102,Model
2023-05-03,0.32,0.16,Corrected
2023-06-14,0.24,0.102,Model
2023-07-26,0.4,0.141,Corrected
2023-09-20,0.3,0.179,Model
2023-11-01,0.175,0.249,Model
2023-12-13,0.16,0.08,Model
2024-03-20,0.04,0.162,Model
2024-06-12,0.26,0.12,Model
2024-09-18,-0.2,0.167,Model
2025-01-29,-0.1,0.19,Model
2025-03-19,-0.06,0.185,Model
2025-05-07,-0.04,0.258,Model
2025-06-18,-0.02,0.232,Model
2025-07-30,0.04,0.185,Model
2025-09-17,-0.3,0.141,Corrected
2025-10-29,-0.28,0.16,Corrected
