Date,Score,Vote_Details,Vote_Logic,Actual_Change_6M,Reference_Dates
2011-04-27,4.5,"[4.5, 3.5, 4.5, 6.5, 4.5]",Rigorous Consensus (Mode 3/5),0.0,[]
2011-06-22,6.5,"[3.5, 6.5, 3.5, 7.0, 6.5]",Rigorous Consensus (Mode 2/5),0.0,[]
2012-01-25,3.5,"[4.5, 3.5, 3.5, 7.0, 3.5]",Rigorous Consensus (Mode 3/5),0.0,[]
2012-04-25,3.5,"[3.5, 3.5, 3.5, 4.5, 4.5]",Rigorous Consensus (Mode 3/5),0.0,"['2012-01-25', '2011-06-22', '2011-04-27']"
2012-06-20,6.5,"[6.5, 6.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 5/5),0.0,"['2011-06-22', '2012-04-25', '2011-04-27']"
2012-09-13,7.5,"[7.0, 7.5, 7.5, 7.5, 3.5]",Rigorous Consensus (Mode 3/5),0.0,"['2012-01-25', '2012-04-25', '2011-06-22']"
2012-12-12,6.5,"[6.5, 6.5, 5.5, 6.5, 6.5]",Rigorous Consensus (Mode 4/5),0.0,"['2012-09-13', '2012-04-25', '2012-01-25']"
2013-03-20,3.5,"[3.5, 6.5, 3.5, 3.5, 6.5]",Rigorous Consensus (Mode 3/5),0.0,"['2012-12-12', '2012-09-13', '2012-01-25']"
2013-06-19,6.5,"[3.5, 6.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 4/5),0.0,"['2013-03-20', '2012-12-12', '2012-09-13']"
2013-09-18,4.5,"[4.5, 4.5, 3.5, 4.5, 4.5]",Rigorous Consensus (Mode 4/5),0.0,"['2013-06-19', '2012-12-12', '2012-09-13']"
2013-12-18,6.5,"[7.25, 6.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 4/5),0.0,"['2013-09-18', '2013-06-19', '2012-12-12']"
2014-03-19,3.5,"[3.5, 3.5, 3.5, 3.5, 4.5]",Rigorous Consensus (Mode 4/5),0.0,"['2013-12-18', '2013-09-18', '2012-12-12']"
2014-06-18,3.5,"[3.5, 3.5, 5.5, 4.5, 6.5]",Rigorous Consensus (Mode 2/5),0.0,"['2014-03-19', '2012-09-13', '2013-06-19']"
2014-09-17,4.5,"[5.5, 4.5, 4.5, 4.5, 4.5]",Rigorous Consensus (Mode 4/5),0.0,"['2014-03-19', '2012-01-25', '2012-04-25']"
2014-12-17,3.5,"[3.5, 3.5, 3.5, 3.5, 3.5]",Rigorous Consensus (Mode 5/5),0.0,"['2014-09-17', '2014-03-19', '2011-06-22']"
2015-03-18,4.5,"[6.5, 3.5, 4.5, 4.5, 6.5]",Rigorous Consensus (Mode 2/5),1.0,"['2014-12-17', '2014-03-19', '2014-09-17']"
2015-06-17,3.5,"[3.5, 4.0, 4.5, 4.5, 3.5]",Rigorous Consensus (Mode 2/5),1.0,"['2014-12-17', '2015-03-18', '2013-12-18']"
2015-09-17,4.5,"[4.5, 4.5, 4.5, 3.5, 3.5]",Rigorous Consensus (Mode 3/5),1.0,"['2015-06-17', '2014-12-17', '2013-12-18']"
2015-12-16,6.5,"[6.5, 6.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 5/5),0.0,"['2015-06-17', '2015-09-17', '2014-12-17']"
2016-03-16,4.5,"[4.5, 4.5, 3.5, 4.5, 4.5]",Rigorous Consensus (Mode 4/5),1.0,"['2015-09-17', '2014-06-18', '2014-12-17']"
2016-06-15,4.5,"[4.5, 4.5, 5.5, 4.5, 5.5]",Rigorous Consensus (Mode 3/5),1.0,"['2015-09-17', '2014-12-17', '2015-06-17']"
2016-09-21,4.5,"[4.5, 5.5, 4.5, 3.5, 5.5]",Rigorous Consensus (Mode 2/5),1.0,"['2016-06-15', '2015-09-17', '2016-03-16']"
2016-12-14,5.5,"[5.5, 5.5, 7.5, 6.5, 7.5]",Rigorous Consensus (Mode 2/5),1.0,"['2016-09-21', '2015-09-17', '2016-06-15']"
2017-03-15,4.5,"[4.5, 5.0, 3.5, 4.5, 4.5]",Rigorous Consensus (Mode 3/5),2.0,"['2016-06-15', '2016-12-14', '2016-09-21']"
2017-06-14,7.0,"[7.5, 7.0, 6.5, 6.5, 7.0]",Rigorous Consensus (Mode 2/5),2.0,"['2017-03-15', '2015-12-16', '2016-12-14']"
2017-09-20,5.5,"[6.5, 5.5, 5.5, 5.5, 5.5]",Rigorous Consensus (Mode 4/5),2.0,"['2017-06-14', '2016-12-14', '2017-03-15']"
2017-12-13,6.5,"[7.0, 6.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 4/5),2.0,"['2016-12-14', '2016-03-16', '2015-09-17']"
2018-03-21,7.5,"[7.5, 7.5, 7.5, 7.5, 6.5]",Rigorous Consensus (Mode 4/5),2.0,"['2015-09-17', '2013-12-18', '2016-03-16']"
2018-06-13,7.5,"[7.5, 7.5, 7.5, 7.5, 7.5]",Rigorous Consensus (Mode 5/5),2.0,"['2015-12-16', '2017-03-15', '2018-03-21']"
2018-09-26,7.5,"[7.5, 5.5, 7.5, 6.5, 7.5]",Rigorous Consensus (Mode 3/5),2.0,"['2018-06-13', '2012-09-13', '2016-12-14']"
2018-12-19,6.5,"[7.5, 6.5, 6.5, 6.5, 5.5]",Rigorous Consensus (Mode 3/5),-1.0,"['2018-09-26', '2012-09-13', '2018-06-13']"
2019-01-30,3.5,"[3.5, 3.5, 3.5, 3.5, 5.0]",Rigorous Consensus (Mode 4/5),-1.0,"['2018-06-13', '2018-12-19', '2018-09-26']"
2019-03-20,3.5,"[4.5, 3.5, 4.5, 3.5, 3.5]",Rigorous Consensus (Mode 3/5),-1.0,"['2019-01-30', '2018-09-26', '2018-12-19']"
2019-05-01,5.5,"[6.5, 4.5, 6.0, 5.5, 5.5]",Rigorous Consensus (Mode 2/5),-3.0,"['2019-01-30', '2019-03-20', '2018-12-19']"
2019-06-19,6.5,"[6.5, 6.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 5/5),-3.0,"['2019-05-01', '2019-01-30', '2019-03-20']"
2019-07-31,6.5,"[6.5, 6.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 5/5),-3.0,"['2019-01-30', '2018-06-13', '2019-05-01']"
2019-09-18,5.5,"[5.5, 6.5, 5.5, 6.5, 5.5]",Rigorous Consensus (Mode 3/5),-6.0,"['2019-01-30', '2019-05-01', '2019-03-20']"
2019-10-30,5.5,"[5.5, 5.5, 5.5, 6.5, 5.5]",Rigorous Consensus (Mode 4/5),-6.0,"['2019-09-18', '2019-01-30', '2019-05-01']"
2019-12-11,3.5,"[4.5, 6.5, 6.5, 3.5, 3.5]",Rigorous Consensus (Mode 2/5),-6.0,"['2019-07-31', '2019-10-30', '2019-01-30']"
2020-01-29,5.5,"[5.5, 7.0, 5.5, 5.0, 5.0]",Rigorous Consensus (Mode 2/5),-6.0,"['2019-03-20', '2019-09-18', '2019-10-30']"
2020-03-15,3.5,"[2.5, 7.0, 3.5, 3.5, 7.5]",Rigorous Consensus (Mode 2/5),0.0,"['2019-10-30', '2019-03-20', '2018-09-26']"
2020-04-29,6.5,"[6.5, 6.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 5/5),0.0,"['2020-03-15', '2018-09-26', '2019-03-20']"
2020-06-10,5.0,"[5.0, 5.0, 4.5, 5.5, 4.5]",Rigorous Consensus (Mode 2/5),0.0,"['2020-04-29', '2020-03-15', '2019-03-20']"
2020-07-29,5.5,"[5.5, 6.0, 5.0, 6.5, 4.5]",Rigorous Consensus (Median of 5),0.0,"['2020-06-10', '2020-03-15', '2020-04-29']"
2020-09-16,6.5,"[4.5, 4.5, 6.5, 6.5, 10.0]",Smart Imputation (Median of 5),0.0,"['2019-10-30', '2019-03-20', '2019-05-01']"
2020-11-05,6.5,"[6.0, 6.5, 3.5, 3.5, 6.5]",Rigorous Consensus (Mode 2/5),0.0,"['2020-09-16', '2020-07-29', '2019-10-30']"
2020-12-16,3.5,"[6.5, 4.0, 3.5, 3.0, 6.5]",Rigorous Consensus (Median of 3),0.0,"['2020-11-05', '2020-09-16', '2019-10-30']"
2021-03-17,4.5,"[4.5, 4.5, 6.5, 4.5, 6.5]",Rigorous Consensus (Mode 3/5),0.0,"['2020-03-15', '2020-09-16', '2020-07-29']"
2021-06-16,6.5,"[6.5, 5.5, 4.5, 6.5, 6.5]",Rigorous Consensus (Mode 3/5),0.0,"['2020-12-16', '2020-09-16', '2020-11-05']"
2021-09-22,6.5,"[6.5, 6.5, 2.5, 5.5, 6.5]",Rigorous Consensus (Mode 3/5),0.0,"['2021-06-16', '2020-12-16', '2020-09-16']"
2021-12-15,6.5,"[6.5, 6.5, 6.5, 6.5, 7.5]",Rigorous Consensus (Mode 4/5),3.0,"['2021-09-22', '2021-06-16', '2020-09-16']"
2022-01-26,7.5,"[7.5, 7.5, 7.5, 7.5, 7.5]",Rigorous Consensus (Mode 5/5),6.0,"['2021-12-15', '2021-09-22', '2021-06-16']"
2022-03-16,7.5,"[7.5, 7.5, 7.5, 7.5, 7.5]",Rigorous Consensus (Mode 5/5),11.0,"['2022-01-26', '2020-09-16', '2021-12-15']"
2022-05-04,7.5,"[7.75, 7.5, 7.5, 7.5, 8.5]",Rigorous Consensus (Mode 3/5),12.0,"['2019-06-19', '2019-07-31', '2019-05-01']"
2022-06-15,8.5,"[8.5, 8.5, 7.5, 8.5, 7.5]",Rigorous Consensus (Mode 3/5),15.0,"['2022-05-04', '2019-06-19', '2019-01-30']"
2022-07-27,7.75,"[7.75, 7.75, 7.5, 7.75, 7.75]",Rigorous Consensus (Mode 4/5),13.0,"['2022-06-15', '2022-05-04', '2019-06-19']"
2022-09-21,7.5,"[7.5, 7.5, 7.5, 7.5, 7.5]",Rigorous Consensus (Mode 5/5),11.0,"['2022-07-27', '2022-05-04', '2022-06-15']"
2022-11-02,7.5,"[7.5, 7.75, 7.5, 7.5, 7.5]",Rigorous Consensus (Mode 4/5),7.0,"['2022-09-21', '2022-07-27', '2022-05-04']"
2022-12-14,7.5,"[7.5, 7.5, 7.5, 7.5, 7.5]",Rigorous Consensus (Mode 5/5),3.0,"['2022-11-02', '2022-09-21', '2022-07-27']"
2023-02-01,7.5,"[7.5, 7.75, 7.5, 7.75, 7.5]",Rigorous Consensus (Mode 3/5),4.0,"['2022-11-02', '2022-12-14', '2022-09-21']"
2023-03-22,6.5,"[6.5, 7.5, 6.5, 7.0, 6.5]",Rigorous Consensus (Mode 3/5),3.0,"['2020-09-16', '2012-04-25', '2019-10-30']"
2023-05-03,4.5,"[6.5, 6.5, 4.5, 4.5, 4.5]",Rigorous Consensus (Mode 3/5),1.0,"['2022-09-21', '2022-11-02', '2022-12-14']"
2023-06-14,6.5,"[6.5, 6.5, 7.5, 6.5, 6.5]",Rigorous Consensus (Mode 4/5),1.0,"['2022-11-02', '2022-12-14', '2023-02-01']"
2023-07-26,6.5,"[7.5, 6.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 4/5),0.0,"['2022-11-02', '2022-09-21', '2023-02-01']"
2023-09-20,7.5,"[7.5, 6.5, 7.5, 7.5, 6.5]",Rigorous Consensus (Mode 3/5),0.0,"['2023-07-26', '2023-06-14', '2022-11-02']"
2023-11-01,6.5,"[6.5, 6.5, 6.5, 5.5, 6.5]",Rigorous Consensus (Mode 4/5),0.0,"['2023-06-14', '2022-12-14', '2022-11-02']"
2023-12-13,6.5,"[4.5, 6.5, 6.5, 6.5, 7.5]",Rigorous Consensus (Mode 3/5),0.0,"['2022-12-14', '2022-05-04', '2023-11-01']"
2024-03-20,6.5,"[6.5, 6.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 5/5),-2.0,"['2023-07-26', '2022-09-21', '2023-12-13']"
2024-06-12,6.5,"[6.5, 6.5, 4.5, 6.5, 7.5]",Rigorous Consensus (Mode 3/5),-2.0,"['2024-03-20', '2022-09-21', '2023-07-26']"
2024-09-18,3.5,"[7.0, 6.5, 3.5, 3.5, 3.5]",Rigorous Consensus (Mode 3/5),-4.0,"['2024-06-12', '2024-03-20', '2023-07-26']"
2025-01-29,6.5,"[6.5, 6.5, 6.5, 4.5, 6.5]",Rigorous Consensus (Mode 4/5),-3.0,"['2024-09-18', '2020-09-16', '2024-06-12']"
2025-03-19,5.5,"[5.0, 5.5, 5.5, 6.5, 6.5]",Rigorous Consensus (Mode 2/5),-3.0,"['2025-01-29', '2024-06-12', '2019-10-30']"
2025-05-07,4.5,"[4.5, 4.5, 4.5, 5.5, 4.5]",Rigorous Consensus (Mode 4/5),-3.0,"['2024-06-12', '2025-01-29', '2024-09-18']"
2025-06-18,5.5,"[5.5, 5.5, 5.5, 4.5, 5.5]",Rigorous Consensus (Mode 4/5),-3.0,"['2025-05-07', '2025-01-29', '2024-06-12']"
2025-07-30,6.5,"[6.5, 5.5, 6.5, 6.5, 6.5]",Rigorous Consensus (Mode 4/5),-3.0,"['2025-05-07', '2025-06-18', '2025-01-29']"
2025-09-17,6.5,"[4.5, 6.5, 5.5, 6.5, 6.5]",Rigorous Consensus (Mode 3/5),0.0,"['2025-01-29', '2025-03-19', '2025-07-30']"
2025-10-29,6.5,"[5.5, 6.5, 4.5, 6.0, 6.5]",Rigorous Consensus (Mode 2/5),0.0,"['2025-01-29', '2025-09-17', '2025-07-30']"
